a,b,c,d,e,f,g,h
India's First Indigenous Nuclear Plant Starts in Gujarat | UPSC,https://www.youtube.com/watch?v=qxBwJ7R0WAM,38182,Education,10M2S,38182,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Pakistan’s Friend Turkey Removed from Indian Defence Deal? But Why? | UPSC,https://www.youtube.com/watch?v=Kdhv1PEmpdI,96662,Education,8M7S,96662,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Why do Israelis love India? How PM Modi winning hearts and minds around the world |  UPSC,https://www.youtube.com/watch?v=GvMBwj_4i2g,47664,Education,10M28S,47664,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Chandrayaan 3: Vikram Lander Detects Natural Seismic Movement On Moon | Moonquake | UPSC,https://www.youtube.com/watch?v=oUxWGnWnlZQ,175166,Education,14M3S,175166,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India overtakes China as the fastest-growing major economy in the world | UPSC,https://www.youtube.com/watch?v=RYaJH3VTalE,89249,Education,10M44S,89249,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
After Moon ISRO is ready for the Sun | Aditya L1 Mission through Animation | UPSC Mains,https://www.youtube.com/watch?v=azDf_eLqGyw,79356,Education,14M8S,79356,2023-08-31,After Moon ISRO is ready for the Sun | Aditya L1 Mission through Animation | UPSC MainsUPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https:...
Daily Current Affairs for UPSC CSE Exam | 31 August 2023 | StudyIQ Current Affairs | UPSC,https://www.youtube.com/watch?v=ZD-Tqod3Zrk,5225,Education,30M36S,5225,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
What Does Collaborative Governance Mean? |  Key Elements of Governance | Public Administration,https://www.youtube.com/watch?v=U_ecEpp3DFA,2813,Education,12M35S,2813,2023-08-31,"UPSC Public Administration Optional Live 2024 (Comprehensive) August Batch : https://bit.ly/43P4Xj2Admissions Closing on 14th Sept, 2023 | Timing - 1:00 PMTo..."
Centre tells Supreme Court: Unable to give exact date when J&K Statehood would be restored | UPSC,https://www.youtube.com/watch?v=7SSgp-wddTo,24224,Education,12M25S,24224,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Heat in Pacific Over Fukushima - Japan vs China | GeoPulse | Fukushima Nuclear Water Waste,https://www.youtube.com/watch?v=pEPCaYWFWfc,4544,Education,13M7S,4544,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
China wins without fighting & US fights without winning | UPSC,https://www.youtube.com/watch?v=gniQ-lyn6Ck,22542,Education,15M14S,22542,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
The Population Problem of Sikkim | Why Sikkim need More Babies? UPSC Mains GS1,https://www.youtube.com/watch?v=O-pxZG5TTAc,26275,Education,22M29S,26275,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Worried About Your Preparation? Enroll in Our P2i Courses For Complete Guidance | UPSC,https://www.youtube.com/watch?v=F7GJJI4pwa8,1040,Education,6M56S,1040,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Vande Bharat Express to Replace Rajdhani Trains | UPSC,https://www.youtube.com/watch?v=z52zCEFQg4s,29392,Education,10M53S,29392,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Can ASI File an FIR Against a Government Body? | CMDA | Archaeological site Protection Rules | UPSC,https://www.youtube.com/watch?v=jgFFnuRfEsc,2532,Education,14M24S,2532,2023-08-31,"UPSC IAS (Mains) Anthropology Optional Live 2024 (Comprehensive) August Batch : https://bit.ly/47mud33Admissions Closing on 7th Sept, 2023 | Timing - 1:00 PM..."
Anti-Pakistan Protest in PoK: Threats of Merger with India | UPSC,https://www.youtube.com/watch?v=AftzdVjn2WU,657854,Education,15M58S,657854,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Hindenburg 2.0: Adani Stock Linked to Opaque Funds in Mauritius | UPSC,https://www.youtube.com/watch?v=AAtd02u7PtU,115481,Education,12M58S,115481,2023-08-31,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
El Nino: India's Foremost Economic and Political Risk Explained | Climate Change | UPSC,https://www.youtube.com/watch?v=uNz7C7Via4g,202681,Education,13M21S,202681,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Why Indian Exports are Crashing? India’s Trade Deficit Problem | UPSC Mains GS1,https://www.youtube.com/watch?v=Jry8zkQ3crg,37376,Education,20M27S,37376,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Why North India Experienced Heavy Rainfall? Global Warming | Climate Change | StudyIQ IAS,https://www.youtube.com/watch?v=Fp0kmX1x73A,5963,Education,28M23S,5963,2023-08-30,"UPSC IAS (Mains) Geography Optional Live 2024 (Comprehensive) August Batch : https://bit.ly/3qkIm01Admissions Closing on 10th Sept, 2023 | Timing - 1:00 PMTo..."
UP Judiciary Rank 1 Interview | Nishi Gupta from StudyIQ Judiciary | Topper's Interview,https://www.youtube.com/watch?v=O3fDUIaBLTU,2406,Education,2M9S,2406,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Worried About Your Preparation? Enroll in Our P2i Courses For Complete Guidance | UPSC,https://www.youtube.com/watch?v=sReWWgIM7fM,2532,Education,22M1S,2532,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Study IQ UPSC Courses: Grab Discounts and Savings on Your UPSC Exam Preparation,https://www.youtube.com/watch?v=Mmzx7N7N3y8,1984,Education,9M39S,1984,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
The Bangladesh Immigrants & Border Problem | India & Pakistan | UPSC,https://www.youtube.com/watch?v=vmr31Bi3ozQ,86361,Education,15M29S,86361,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
World's First BS6 Electrified Flex Fuel Vehicle Unveiled | UPSC,https://www.youtube.com/watch?v=dhuLhw75jIM,150283,Education,11M29S,150283,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Jio Will be Among World's First to Develop 6G Capabilities | UPSC,https://www.youtube.com/watch?v=GyBgHEE_G2g,40512,Education,13M11S,40512,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Maximize Your UPSC Preparation: Study IQ's Exclusive Course Offers You Can't Miss! | UPSC,https://www.youtube.com/watch?v=hYk5vaKx5yk,3279,Education,16M40S,3279,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Its your time to get success: P2i Rakshabandhan sale,https://www.youtube.com/watch?v=TVkk1VTP_e0,670,Education,2M50S,670,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Is Rakshabandhan a Tribal Festival? Anthropology | StudyIQ IAS,https://www.youtube.com/watch?v=WnT4YghvVOk,2704,Education,24M21S,2704,2023-08-30,"UPSC IAS (Mains) Anthropology Optional Live 2024 (Comprehensive) August Batch : https://bit.ly/47mud33Admissions Closing on 7th Sept, 2023 | Timing - 1:00 PM..."
"Jaishankar Hits Back At China New Map Claiming Arunachal, Aksai Chin | UPSC",https://www.youtube.com/watch?v=_YwtFoso4a4,151071,Education,13M53S,151071,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
G 20 Summit | 3-Day Holiday Lockdown Announced In Delhi | UPSC,https://www.youtube.com/watch?v=Bxnf0igkbNI,46735,Education,10M54S,46735,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Domestic LPG Cylinder Price Slashed by Rs 200 | UPSC | StudyIQ,https://www.youtube.com/watch?v=oITb1EfXEDs,57835,Education,12M26S,57835,2023-08-30,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
How Hindus are Influencing American Politics? USA Elections | UPSC Mains GS2,https://www.youtube.com/watch?v=5OHNF40TJCw,123125,Education,19M57S,123125,2023-08-29,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
"ISRO's Pragyan Rover Lunar Discoveries: Sulphur Confirmed, Oxygen Detected, Hydrogen Hunt | UPSC",https://www.youtube.com/watch?v=HA57F6yoNsI,315788,Education,11M20S,315788,2023-08-29,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
China starts War Map with India | GeoPulse | Arunachal Pradesh | Aksaichin,https://www.youtube.com/watch?v=Tv1mxKSd7LY,12317,Education,9M49S,12317,2023-08-29,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
World's Biggest Aviation Mystery | Can MH370 be Found Now? | What Really Happened?,https://www.youtube.com/watch?v=n9_rXxIPtNA,87317,Education,17M37S,87317,2023-08-29,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Why choose Sociology Optional at Study IQ? Approach | Analysis | UPSC CSE 2024,https://www.youtube.com/watch?v=px0iLXywR3w,2736,Education,15M37S,2736,2023-08-29,"UPSC IAS (Mains) Sociology Optional Live 2024 (Comprehensive) August Batch : https://bit.ly/3DAgqZlAdmissions Closing on 1st Sept, 2023 | Timing -1:00 PMTo k..."
